Startup_ID,Startup_Name,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin
ST024,Vedantu,~$330 Mn,$19 Mn,Debt/Bridge,2023/2024 internal extension,10,Seed → Series A to E,"Tiger Global, Coatue Management, GGV Capital, WestBridge",ABC World Asia,~$450 Mn,₹160 Cr (FY25),Loss: -₹110 Cr (FY25),~45%
ST025,Classplus,~$160 Mn,$70 Mn,Series D,Mar-22,7,Seed → Series A to D,"Alpha Wave Global, Tiger Global, Blume Ventures, RTP Global",Alpha Wave Global,~$620 Mn,₹149 Cr (FY24),Loss: -₹255 Cr (FY24),~65%
ST026,CollegeDekho,~$55 Mn,$9 Mn,Series B Extension,Dec-22,5,Seed → Series A → Series B,"Winter Capital, ETS Strategic Capital, Calega, Lightspeed",Winter Capital,~$140 Mn,₹141 Cr (FY24),Loss: -₹47 Cr (FY24),~40%
ST027,Delhivery,~$1.4 Bn,Raised via Public Markets,Public (IPO),May-22,13,Private Rounds → IPO Listing,"SoftBank, Carlyle Group, Tiger Global, CPPIB, Public Markets",Public Markets,~$3.6 Bn,"₹8,650 Cr (FY25)",Profit: ₹85 Cr (FY25),~26%
ST028,Shiprocket,~$350 Mn,$11 Mn,Extended Series E,Oct 2022 (Internal debt 2024),11,Seed → Series A to E,"Zomato, Lightrock India, Temasek, Moore Strategic, Tribe Capital",McKinsey & Company,~$1.2 Bn,"₹1,520 Cr (FY25)",Loss: -₹65 Cr (FY25),~32%
ST029,Xpressbees,~$580 Mn,$80 Mn,Late Stage / PE,Nov-23,9,Series A to F → Secondary sales,"Ontario Teachers' Pension, Blackstone, TPG Growth, ChrysCapital",Teachers' Venture Growth,~$1.4 Bn,"₹4,200 Cr (FY25)",Loss: -₹140 Cr (FY25),~22%
ST030,Shadowfax,~$180 Mn,$50 Mn,Series E,Feb-24,8,Seed → Series A to E,"Mirae Asset, Flipkart, Qualcomm Ventures, Eight Roads",Mirae Asset Apptech,~$350 Mn,"₹1,910 Cr (FY25)",Profit: Near-breakeven track (FY25),~15%
ST031,Zomato,~$2.1 Bn (Pre-IPO),Raised via Public Markets,Public (IPO),Jul-21,15,Seed → Series A to J → IPO,"Info Edge, Ant Group, Tiger Global, Temasek, Public Markets",Public Markets,~$28+ Bn,"₹18,400+ Cr (FY25) / Scaling in FY26","Profit: ₹1,420 Cr (FY25 Consolidated)",~35%
ST032,Swiggy,~$3.6 Bn (Pre-IPO),"~$1.2 Bn (₹10,000 Cr)",Public (IPO),Nov-24,16,Seed → Series A to K → IPO,"Prosus, SoftBank, Accel, Elevation Capital, Public Markets",Public Markets,~$11.2 Bn,"₹14,250 Cr (FY25) / Growing in FY26",Loss: Net Group losses narrowed heavily in FY25/26,~33%
ST033,Swish,~$5 Mn,$5 Mn,Seed Round,Late 2024 / Early 2025,1,Seed Round,"Accel India, Travis Kalanick’s 1010 Fund, Angel Investors",Accel India,~$25 Mn,Early Stage / Run-rate building,Operational expansion phase,~18%
ST034,Magicpin,~$105 Mn,$60 Mn,Series D,Nov 2021 (Extensions into 2024),8,Seed → Series A to D,"Lightspeed India, Zomato, WaterBridge Ventures",Zomato Ltd,~$380 Mn,"₹1,050 Cr (FY25)",Loss: Lowered to -₹22 Cr (FY25),~28%
ST035,Rebel Foods,~$530 Mn,$66 Mn,Series F,Nov 2021 (Debt pools in 2024),13,Seed → Series A to F,"Coatue Management, Sequoia Capital, Goldman Sachs, Qatar Holding",Qatar Investment Authority,~$1.4 Bn,"₹1,420 Cr (FY24)",Loss: -₹378 Cr (FY24),~52%
ST036,FreshMenu,~$25 Mn,$1 Mn,Bridge Round,2022/2023 internal buffer,6,Seed → Series A → Growth → Bridge,"GrowthStory, Lightspeed India, Zodius Capital",Lightspeed India,~$35 Mn,₹102 Cr (FY24),Loss: -₹4 Cr (FY24),~42%
ST037,EatSure,Part of Rebel Foods,Funded internally,Vertical Allocation,Continuous,0,Fully integrated into Rebel Foods,Rebel Foods Parent Group,Rebel Foods Ltd,Integrated into Rebel Foods,Included in Rebel Foods Consolidated data,Factored into Parent Group scale,~50%
ST038,boAt,~$177 Mn,$60 Mn,Pre-IPO / PE,Oct-22,7,Seed → Series B → PE Round,"Warburg Pincus, Malabar India Fund, Fireside Ventures",Warburg Pincus,~$1.1 Bn,"₹3,120 Cr (FY25)",Profit: Back to profit track ~₹45 Cr (FY25),~24%
ST039,Noise,~$10 Mn,Undisclosed strategic,Series A,Jan-24,2,Bootstrapped → Strategic Series A,"Bose Corporation, Nexxbase Corporate",Bose Corporation,~$280 Mn,"₹1,270 Cr (FY24)",Loss: -₹20 Cr (FY24),~20%
ST040,Boult,~$5 Mn,Bootstrapped / Debt,Working capital facilities,2024/2025,1,Primarily Bootstrapped / Debt Lines,Strides Ventures (Debt Provider),Self-funded founders,~$140 Mn,₹680 Cr (FY24),Profit: ₹12 Cr (FY24),~22%
ST041,Fire-Boltt,0,Completely Bootstrapped,0,0,0,Bootstrapped & Profitable,None (Founder Owned),0,~$250 Mn,"₹1,480 Cr (FY24)",Profit: ₹38 Cr (FY24),~19%
ST042,Zerodha,0,Completely Bootstrapped,0,0,0,Self-Sustained organic growth,None (100% Founder Owned),0,~$3.6 Bn,"₹8,320 Cr (FY25)","Profit: ₹4,700 Cr (FY25)",~88%
ST043,PhonePe,~$1.6 Bn,$100 Mn,Late Stage (Series G group),May 2023 (Walmart allocations to 2025),11,Corporate Carve-out → Global Private rounds,"Walmart, General Atlantic, Tiger Global, Ribbit Capital",Walmart Inc. / General Atlantic,~$12 Bn,"₹5,210 Cr (FY25)",Profit: Operational Profitability hit in FY25/26,~48%
ST044,Angel One,~$50 Mn (Pre-IPO),Raised via Public Markets,Public (IPO),Oct-20,4,Institutional Private Stages → Public IPO,"International Finance Corporation, Public Investors",Public Markets,~$2.4 Bn,"₹5,130 Cr (FY25) / Scaling into FY26","Profit: ₹1,345 Cr (FY25)",~70%
ST045,Honasa (Mamaearth),~$125 Mn,"₹1,701 Cr (~$205 Mn)",Public (IPO),Nov-23,8,Seed → Series A to D → IPO Listing,"Peak XV Partners, Fireside Ventures, Stellaris, Public Investors",Public Markets,~$1.2 Bn,"₹2,140 Cr (FY25)",Profit: ₹115 Cr (FY25),~64%
ST046,Urban Company,~$470 Mn,$255 Mn,Series F,June 2021 (Secondary buybacks in 2024),11,Seed → Series A to F,"Prosus Ventures, Tiger Global, Vy Capital, Elevation Capital",Prosus Ventures,~$2.1 Bn,₹325 Cr (FY25),Loss: Narrowed down to near-breakeven,~50%
ST047,LEAD School,~$170 Mn,$100 Mn,Series E,Jan 2022 (Debt facilities in 2023/24),8,Series A to E → Debt lines,"WestBridge Capital, GSV Ventures, Elevar Equity",WestBridge Capital,~$1.1 Bn,₹345 Cr (FY24),Loss: -₹158 Cr (FY24),~54%
ST048,Teachmint,~$118 Mn,$78 Mn,Series B,Oct-21,4,Seed → Series A → Series B,"Lightspeed India, Rocketship.vc, Vulcan Capital, Goodwater",Rocketship.vc,~$500 Mn,₹24 Cr (FY24),Loss: -₹120 Cr (FY24),~40%
ST049,Eruditus,~$585 Mn,$150 Mn,Series F,Oct-24,8,Series A to F,"TPG Rise, SoftBank, Accel, Chan Zuckerberg Initiative",TPG Rise,~$3.1 Bn,"₹3,410 Cr (FY25)",Loss: Operational profit achieved; net loss minimized,~62%
ST050,BYJU'S,~$5.0 Bn,$200 Mn,Rights Issue (Disputed),Early 2024 (Insolvency 2025/26),28,Series A to H → Restructuring,"Prosus, General Atlantic, Chan Zuckerberg, Peak XV, Sofina",Existing Investors,Critically Downgraded / <$100 Mn,Formally Delayed,Severe Operational Losses,Under Restructuring
ST051,Practo,~$230 Mn,$32 Mn,Series D,Jan 2017 (Internal debt through 2024),6,Seed → Series A to D,"Tencent, Matrix Partners, Sofina, Peak XV, Altimeter Capital",Tencent,~$420 Mn,₹242 Cr (FY24),Loss: -₹83 Cr (FY24),~55%
ST052,PharmEasy,~$1.2 Bn,"₹3,500 Cr (~$420 Mn)",Rights Issue / Downround,Late 2023 / 2024,14,Series A to G → Debt Deleveraging,"Ranjan Pai (MEMG), Temasek, TPG, Prosus, Marigold",Ranjan Pai (MEMG),~$710 Mn,"₹5,840 Cr (FY25)",Loss: Narrowed down to -₹420 Cr (FY25),~22%
ST053,Tata 1mg,~$230 Mn,$40 Mn,Internal Infusion,Sept 2022 (Tata allocations to 2025),11,Early Rounds → Acquired by Tata → Growth Rounds,"Tata Digital, Sequoia Capital, IFC, HBM Healthcare",Tata Digital,~$1.3 Bn,"₹1,960 Cr (FY25)",Loss: -₹310 Cr (FY25),~26%
ST054,MediBuddy,~$190 Mn,$18 Mn,Growth Round,Feb-24,9,Series A → Series B → Series C → Growth,"Quadria Capital, Lightrock India, Bessemer Venture Partners",Quadria Capital,~$400 Mn,₹615 Cr (FY25),Loss: -₹45 Cr (FY25 - narrowed),~40%
ST055,Healthify,~$130 Mn,$30 Mn,Pre-IPO Round,Oct 2024 / 2025,8,Series A to C → Pre-IPO Bridge,"LeapFrog Investments, Khosla Ventures, Unilever Ventures",LeapFrog Investments,~$380 Mn,₹265 Cr (FY25),Loss: Operational Breakeven hit (FY25),~62%
ST056,Curefoods,~$180 Mn,$25 Mn,Series D,Apr-24,7,Series A to D,"Three State Ventures, Iron Pillar, Chiratae Ventures",Three State Ventures,~$440 Mn,₹420 Cr (FY24),Loss: -₹74 Cr (FY24),~45%
ST057,Porter,~$150 Mn,$20 Mn,Secondary Exit / Bridge,2024 / 2025,7,Series A to E → Secondary,"Tiger Global, Peak XV, Lightrock, Mahindra & Mahindra",Tiger Global,~$1.0 Bn,"₹2,730 Cr (FY25)",Profit: Back to profit track ~₹35 Cr (FY25),~18%
ST058,BlackBuck,~$360 Mn,Raised via Public Markets,Public (IPO),Late 2024 / Listed to 2026,10,Series A to E → IPO Listing,"Accel, Tiger Global, Sands Capital, IFC, Public Shareholders",Public Markets,~$1.1 Bn,"₹1,240 Cr (FY25)",Profit: Turned profitable post-listing,~16%
ST059,Rivigo,~$260 Mn,Acquired (Partially),Asset Sale / M&A,Sept 2022 (Fully Integrated),9,Series A to E → Acquired by Mahindra Logistics,"Mahindra Logistics, Warburg Pincus, Elevation Capital",Mahindra Logistics Ltd,Integrated into Mahindra Logistics,Segmented reporting under parent,Absorbed into parent financials,~12%
ST060,BluSmart,~$210 Mn,$50 Mn,Growth / Equity & Debt,May 2024 (Follow-on tranches 2025),12,Seed → Bridge → Series A → Growth,"BP Ventures, Inflection Point Ventures, Green Frontier",BP Ventures,~$420 Mn,₹410 Cr (FY25),Loss: -₹65 Cr (FY25),~28%
ST061,Ola Electric,~$1.1 Bn (Pre-IPO),Raised via Public Markets,Public (IPO),Aug-24,11,Private Rounds → Mega Public Listing,"SoftBank, Tiger Global, Temasek, Matrix Partners, Public Markets",Public Markets,~$4.6 Bn,"₹6,820 Cr (FY25) / Runs higher into FY26","Loss: -₹1,140 Cr (FY25)",~20%
ST062,Ather Energy,~$550 Mn,Raised via Public Markets,Public (IPO),April/May 2025,15,Series A to F → Public Listing,"Hero MotoCorp, GIC (Singapore), Tiger Global, Public Investors",Public Markets,~$3.4 Bn,"₹2,350 Cr (FY25) / Expanding in FY26",Loss: Post-IPO capital narrowed group losses,~24%
ST063,Rapido,~$430 Mn,$120 Mn,Series E,Sept 2024 (Unicorn Round),10,Series A to E,"WestBridge Capital, Swiggy, Nexus Venture Partners, Roosh Ventures",WestBridge Capital,~$1.1 Bn,"₹1,120 Cr (FY25)",Loss: Near-breakeven achieved in ride-hailing ops,~22%
ST064,Namma Yatri,~$11 Mn,$11 Mn,Pre-Series A,Jul-24,1,Seed / Standalone Spin-off,"Moving Tech, Blume Ventures, Antler India, Google (via Juspay)",Blume Ventures / Antler India,~$55 Mn,Zero Commission SaaS / Run-rate expanding,Operational sustainability managed,~80% (Tech platform efficiency)
ST065,CarDekho,~$310 Mn,$250 Mn,Series E,Oct-21,9,Series A to E,"CapitalG (Google), Girnar Software, Peak XV, Hillhouse",CapitalG (Google),~$1.2 Bn,"₹2,510 Cr (FY24)",Loss: -₹124 Cr (FY24),~38%
ST066,Cars24,~$1.3 Bn,$400 Mn,Series G,Dec-21,12,Series A to G,"DST Global, Alpha Wave Global, SoftBank, Tencent, Exor",DST Global,~$3.3 Bn,"₹6,240 Cr (FY25 Consolidated)",Loss: Drastically reduced down to -₹95 Cr (FY25),~15%
ST067,Spinny,~$570 Mn,$283 Mn,Series E,Dec-21,8,Series A to E,"Tiger Global, Abu Dhabi Investment Authority, Alpha Wave",Tiger Global,~$1.7 Bn,"₹3,410 Cr (FY24)",Loss: -₹590 Cr (FY24),~14%
ST068,ACKO,~$450 Mn,$85 Mn,Series D (Extensions up to 2024),Oct-21,7,Series A to D,"General Atlantic, Multiples PE, Lightspeed, Amazon, Accel",General Atlantic,~$1.4 Bn,"₹2,150 Cr (FY25 Premium Income)",Loss: Underwriting loss minimized; near-profitable,~35%
ST069,Policybazaar,~$360 Mn (Pre-IPO),Raised via Public Markets,Public (IPO),Nov-21,10,Private Growth Rounds → Public Listing,"PB Fintech, SoftBank, Info Edge, Temasek, Public Investors",Public Markets,~$6.8 Bn,"₹4,220 Cr (FY25) / Accelerating in FY26",Profit: ₹310 Cr (FY25 Net Consolidated Profit),~46%
ST070,Digit Insurance,~$540 Mn,Raised via Public Markets,Public (IPO),May-24,8,Private Equity Rounds → Public IPO Listing,"Go Digit, Fairfax Financial, Peak XV, Public Shareholders",Public Markets,~$3.2 Bn,"₹8,110 Cr (FY25 Gross Premium)",Profit: ₹182 Cr (FY25),~28%
ST071,Navi,~$580 Mn,Completely Debt/Founder Capital,Private Debt Rounds,Continuous,4,Integrated financial engine deployment,Sachin Bansal (99%+ Ownership),Sachin Bansal,~$1.2 Bn,"₹2,140 Cr (FY24)",Profit: ₹251 Cr (FY24),~52%
ST072,BharatPe,~$720 Mn,$100 Mn,Series E (Equity restructure to 2024),Aug-21,9,Seed → Series A to E,"Tiger Global, Dragoneer, Coatue, Peak XV, Insight Partners",Tiger Global,~$2.4 Bn,"₹1,610 Cr (FY25)",Loss: Substantially lowered down close to EBITDA neutral,~30%
ST073,Paytm,~$3.5 Bn (Pre-IPO),Raised via Public Markets,Public (IPO),Nov-21,14,Private Funding Stages → Public Listing,"One97 Communications, Ant Group, SoftBank, Public Investors",Public Markets,~$5.4 Bn,"₹7,850 Cr (FY25) / Business stabilizing in FY26",Loss: Regulatory adjustment costs normalized in FY25/26,~40%
ST074,Cashfree Payments,~$42 Mn,$35 Mn,Series B,June 2021 (Regulatory updates 2024),4,Seed → Series A → Series B,"State Bank of India, Y Combinator, Apis Partners, PayPal",Apis Partners,~$500 Mn,₹680 Cr (FY24),Loss: -₹136 Cr (FY24),~34%
ST075,OfBusiness,~$880 Mn,$325 Mn,Series G,Dec 2021 (Public Ltd conversion 2025),10,Seed → Series A to G → Converted to Public Ltd,"SoftBank, Tiger Global, Alpha Wave Global, Matrix Partners",SoftBank Vision Fund 2,~$5.0 Bn,"₹21,450 Cr (FY25 audited)",Profit: ₹610 Cr (FY25 audited),~18%
ST076,Infra.Market,~$510 Mn,$50 Mn,Late Stage / Pre-IPO,May 2024 / 2025,11,Series A to D → Pre-IPO Blocks,"Tiger Global, Nexus Venture, Accel, Mars Growth, Liquid 2",Liquidity Group,~$2.6 Bn,"₹15,400 Cr (FY25)",Profit: ₹415 Cr (FY25),~20%
ST077,Zetwerk,~$660 Mn,$20 Mn,Series F (Extensions into 2024),Dec-21,13,Series A to F,"Greenoaks, Lightspeed, Peak XV, D1 Capital, Accel India",Greenoaks Capital,~$2.8 Bn,"₹14,210 Cr (FY25 Consolidated)",Profit: ₹155 Cr (FY25),~15%
ST078,ElasticRun,~$430 Mn,$330 Mn,Series E,Feb-22,7,Series A to E,"SoftBank, Prosus Ventures, Goldman Sachs, Avataar Ventures",SoftBank Vision Fund 2,~$1.5 Bn,"₹3,920 Cr (FY24)",Loss: -₹360 Cr (FY24),~10%
ST079,Udaan,~$1.5 Bn,$340 Mn,Series E / Downround debt combo,Dec-23,17,Series A to E → Downround Debt structural adjustment,"Lightspeed, DST Global, Tencent, Altimeter Capital, Evolution",Lightspeed Venture Partners,~$1.8 Bn,"₹2,640 Cr (FY25 Consolidated)",Loss: Scaled down heavy burn to -₹850 Cr (FY25),~14%
ST080,Ninjacart,~$370 Mn,$9 Mn,Series D Extension,May-23,9,Series A to D,"Flipkart, Walmart, Accel, Tiger Global, Qualcomm",Walmart Inc.,~$820 Mn,"₹2,350 Cr (FY24)",Loss: -₹255 Cr (FY24),~14%
ST081,DeHaat,~$270 Mn,$60 Mn,Series E,Dec-22,8,Series A to E,"Sofina, Temasek, Lightrock India, RTP Global",Temasek,~$800 Mn,"₹2,710 Cr (FY24)",Loss: -₹125 Cr (FY24),~16%
ST082,AgroStar,~$150 Mn,$70 Mn,Series D,Dec-21,7,Series A to D,"Evolvence, Schroders Capital, Hero Enterprise, Accel",Evolvence India,~$280 Mn,₹420 Cr (FY24),Loss: -₹110 Cr (FY24),~22%
ST083,Moglix,~$470 Mn,$250 Mn,Series F,Jan-22,9,Series A to F,"Tiger Global, Alpha Wave Global, Ward Ferry, Peak XV",Tiger Global,~$2.6 Bn,"₹4,750 Cr (FY25)",Loss: Narrowed down to -₹65 Cr (FY25),~15%
ST084,Khatabook,~$111 Mn,$100 Mn,Series C,Aug-21,4,Series A → B → C,"Tribe Capital, Moore Strategic, B Capital, Peak XV",Tribe Capital,~$600 Mn,₹280 Cr (FY24),Loss: -₹115 Cr (FY24),~45%
ST085,Dukaan,~$14 Mn,$11 Mn,Series A,Sep-21,3,Seed → Series A,"Matrix Partners India, Lightspeed India, 9Unicorns",Matrix Partners India,~$85 Mn,₹42 Cr (FY24),Loss: Near-breakeven tracking,~70%
ST086,BrowserStack,~$250 Mn,$200 Mn,Series B,Jun-21,3,Series A → Series B,"Bond Capital, Insight Partners, Accel",Bond Capital,~$4.0 Bn,"₹1,210 Cr (FY25)",Profit: Profitable (~₹210 Cr FY25),~82%
ST087,Snapdeal,~$1.8 Bn,Debt / Secondary,Working Capital,Continuous,13,Series A to G → DRHP Withdrawn,"SoftBank, Foxconn, Alibaba Group, BlackRock",SoftBank,~$250 Mn (Down valuation),₹380 Cr (FY24),Loss: -₹152 Cr (FY24),~30%
ST088,Chargebee,~$470 Mn,$250 Mn,Series H,Jan-22,8,Series A to H,"Tiger Global, Peak XV, Insight Partners, Sapphire",Tiger Global,~$3.5 Bn,"₹1,410 Cr (FY25 Global)",Loss: Operational profitability hit in FY25,~78%
ST089,Hasura,~$140 Mn,$100 Mn,Series C,Feb-22,5,Seed → Series A to C,"Greenoaks Capital, Lightspeed, Nexus Venture Partners",Greenoaks Capital,~$1.0 Bn,₹180 Cr (FY24 Global),Loss: Capital efficient burn trajectory,~85%
ST090,InMobi,~$320 Mn,Private Debt Facility,Late Stage / Pre-IPO,2024 / 2025,7,Early Rounds → SoftBank → Pre-IPO,"SoftBank, Taranis Investment, Kleiner Perkins",SoftBank,~$3.0 Bn,"₹3,890 Cr (FY25 Consolidated)",Profit: Consistently profitable group-level,~55%
ST091,Dream11,~$1.6 Bn,$840 Mn,Series G,Nov-21,9,Series A to G,"Falcon Edge, Tiger Global, TPG Growth, D1 Capital",Falcon Edge Capital,~$8.0 Bn,"₹4,380 Cr (FY24)",Profit: ₹145 Cr (FY24),~32%
ST092,MakeMyTrip,~$550 Mn (Pre-IPO),Raised via Public Markets,Public (NASDAQ),Listed globally,,International Private Rounds → NASDAQ Public Listing,"Public Shareholders, Ctrip, SAIF Partners",Public Markets,~$8.5+ Bn,"₹6,420 Cr (FY25) / Accelerating in FY26","Profit: ₹1,120 Cr (FY25 Net Profit)",~54%
